agid,name,rank,station,unit,district,subDivision,landline,mobile,email,searchBlob
KSP0148,Secretary Cabinet Secretariat (Retd.),Secretary Cabinet Secretariat (Retd.),,Retired Police Officers,,,,9900195803,,secretary cabinet secretariat (retd.) retired police officers 9900195803
KSP0149,Spl. Secretary (Retd.),Spl (Retd.),,Retired Police Officers,,,,080-26762831,,spl. secretary (retd.) spl (retd.) retired police officers 080-26762831
KSP0150,DGP (Retd.),DGP (Retd.),,HQ,,,,9880280804,,dgp (retd.) hq 9880280804
KSP0151,DGP (Retd.),DGP (Retd.),,HQ,,,,7017481276,,dgp (retd.) hq 7017481276
KSP0152,DGP (Retd.),DGP (Retd.),,HQ,,,,9449631100,,dgp (retd.) hq 9449631100
KSP0153,DGP (Retd.),DGP (Retd.),,HQ,,,,9632759095,,dgp (retd.) hq 9632759095
KSP0154,DGP (Retd.),DGP (Retd.),,HQ,,,,9448090440,,dgp (retd.) hq 9448090440
KSP0155,DGP (Retd.),DGP (Retd.),,HQ,,,,080-25533825,,dgp (retd.) hq 080-25533825
KSP0156,DGP (Retd.),DGP (Retd.),,HQ,,,,9880140477,,dgp (retd.) hq 9880140477
KSP0157,DGP (Retd.),DGP (Retd.),,HQ,,,,080-23418655,,dgp (retd.) hq 080-23418655
KSP0158,DGP (Retd.),DGP (Retd.),,HQ,,,,9483503999,,dgp (retd.) hq 9483503999
KSP0159,DGP (Retd.),DGP (Retd.),,HQ,,,,9611112192,,dgp (retd.) hq 9611112192
KSP0160,DGP (Retd.),DGP (Retd.),,HQ,,,,9448138828,,dgp (retd.) hq 9448138828
KSP0161,DGP (Retd.),DGP (Retd.),,HQ,,,,080-26588895,,dgp (retd.) hq 080-26588895
KSP0162,DGP (Retd.),DGP (Retd.),,HQ,,,,8792416998,,dgp (retd.) hq 8792416998
KSP0163,DGP (Retd.),DGP (Retd.),,HQ,,,,080-25703838,,dgp (retd.) hq 080-25703838
KSP0164,DGP (Retd.),DGP (Retd.),,HQ,,,,080-26686582,mkdgp77@gmail.com,dgp (retd.) hq 080-26686582 mkdgp77@gmail.com
KSP0165,DGP (Retd.),DGP (Retd.),,HQ,,,,9845240900,,dgp (retd.) hq 9845240900
KSP0166,DGP (Retd.),DGP (Retd.),,HQ,,,,9844044166,megharikh@yahoo.com,dgp (retd.) hq 9844044166 megharikh@yahoo.com
KSP0167,DGP (Retd.),DGP (Retd.),,HQ,,,,080-26536140,,dgp (retd.) hq 080-26536140
KSP0168,DGP (Retd.),DGP (Retd.),,HQ,,,,8197777911,,dgp (retd.) hq 8197777911
KSP0169,DGP (Retd.),DGP (Retd.),,HQ,,,,9902030009,,dgp (retd.) hq 9902030009
KSP0170,DGP (Retd.),DGP (Retd.),,HQ,,,,9481830000,,dgp (retd.) hq 9481830000
KSP0171,DGP (Retd.),DGP (Retd.),,HQ,,,,9449084841,,dgp (retd.) hq 9449084841
KSP0172,DGP (Retd.),DGP (Retd.),,HQ,,,,9448074100,,dgp (retd.) hq 9448074100
KSP0173,DGP (Retd.),DGP (Retd.),,HQ,,,,9480824808,,dgp (retd.) hq 9480824808
KSP0174,DGP (Retd.),DGP (Retd.),,HQ,,,,80-25355353,,dgp (retd.) hq 80-25355353
KSP0175,DGP (Retd.),DGP (Retd.),,HQ,,,,9945179024,,dgp (retd.) hq 9945179024
KSP0176,DGP (Retd.),DGP (Retd.),,HQ,,,,9481300000,pavanjeetsinghsandhu@gmail.com,dgp (retd.) hq 9481300000 pavanjeetsinghsandhu@gmail.com
KSP0177,DGP (Retd.),DGP (Retd.),,HQ,,,,9739405565,,dgp (retd.) hq 9739405565
KSP0178,DGP (Retd.),DGP (Retd.),,HQ,,,,9448956555,,dgp (retd.) hq 9448956555
KSP0179,DGP (Retd.),DGP (Retd.),,HQ,,,,9845991451,,dgp (retd.) hq 9845991451
KSP0180,DGP (Retd.),DGP (Retd.),,HQ,,,,9945979999,,dgp (retd.) hq 9945979999
KSP0181,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9845072185,,adgp (retd.) hq 9845072185
KSP0182,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9900115209,,adgp (retd.) hq 9900115209
KSP0183,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9482851770,,adgp (retd.) hq 9482851770
KSP0184,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9845188995,,adgp (retd.) hq 9845188995
KSP0185,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9591536477,,adgp (retd.) hq 9591536477
KSP0186,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9448045295,,adgp (retd.) hq 9448045295
KSP0187,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9741385968,,adgp (retd.) hq 9741385968
KSP0188,ADGP (Retd.),ADGP (Retd.),,HQ,,,,080-25251531,,adgp (retd.) hq 080-25251531
KSP0189,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9945400123,,adgp (retd.) hq 9945400123
KSP0190,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9945570406,,adgp (retd.) hq 9945570406
KSP0191,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9448467662,,adgp (retd.) hq 9448467662
KSP0192,ADGP (Retd.),ADGP (Retd.),,HQ,,,,7899827080,,adgp (retd.) hq 7899827080
KSP0193,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9611751222,,adgp (retd.) hq 9611751222
KSP0194,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9845246669,,adgp (retd.) hq 9845246669
KSP0195,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9741177775,,adgp (retd.) hq 9741177775
KSP0196,ADGP (Retd.),ADGP (Retd.),,HQ,,,,080-25720287,,adgp (retd.) hq 080-25720287
KSP0197,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9980915100,,adgp (retd.) hq 9980915100
KSP0198,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9448123234,,adgp (retd.) hq 9448123234
KSP0199,ADGP (Retd.),ADGP (Retd.),,HQ,,,,9972792119,,adgp (retd.) hq 9972792119
KSP0200,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9741877882,,igp (retd.) retired police officers 9741877882
KSP0201,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,080-25455869,,igp (retd.) retired police officers 080-25455869
KSP0202,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9482222854,,igp (retd.) retired police officers 9482222854
KSP0203,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9448505666,,igp (retd.) retired police officers 9448505666
KSP0204,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9845911115,,igp (retd.) retired police officers 9845911115
KSP0205,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9663945079,,igp (retd.) retired police officers 9663945079
KSP0206,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,080-23565252,,igp (retd.) retired police officers 080-23565252
KSP0207,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9845099499,,igp (retd.) retired police officers 9845099499
KSP0208,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9449348140,,igp (retd.) retired police officers 9449348140
KSP0209,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,080-48668724,,igp (retd.) retired police officers 080-48668724
KSP0210,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,080-25630672,,igp (retd.) retired police officers 080-25630672
KSP0211,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9845525252,,igp (retd.) retired police officers 9845525252
KSP0212,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,8095501072,,igp (retd.) retired police officers 8095501072
KSP0213,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9448194513,,igp (retd.) retired police officers 9448194513
KSP0214,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,8747976333,,igp (retd.) retired police officers 8747976333
KSP0215,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9844354803,,igp (retd.) retired police officers 9844354803
KSP0216,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9980053054,,igp (retd.) retired police officers 9980053054
KSP0217,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9845323700,,igp (retd.) retired police officers 9845323700
KSP0218,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9448400093,,igp (retd.) retired police officers 9448400093
KSP0219,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9900096569,,igp (retd.) retired police officers 9900096569
KSP0220,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9880975000,,igp (retd.) retired police officers 9880975000
KSP0221,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9980661575,,igp (retd.) retired police officers 9980661575
KSP0222,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9448045234,,igp (retd.) retired police officers 9448045234
KSP0223,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,080-23401901,,igp (retd.) retired police officers 080-23401901
KSP0224,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,080-25632285,,igp (retd.) retired police officers 080-25632285
KSP0225,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9448110533,,igp (retd.) retired police officers 9448110533
KSP0226,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,7760996262,,igp (retd.) retired police officers 7760996262
KSP0227,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9845201832,,igp (retd.) retired police officers 9845201832
KSP0228,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9611988880,,igp (retd.) retired police officers 9611988880
KSP0229,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9164619777,,igp (retd.) retired police officers 9164619777
KSP0230,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9945278100,,igp (retd.) retired police officers 9945278100
KSP0231,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9731806397,,igp (retd.) retired police officers 9731806397
KSP0232,IGP (Retd.),IGP (Retd.),,Retired Police Officers,,,,9845689500,,igp (retd.) retired police officers 9845689500
KSP0233,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9538554571,,digp (retd.) retired police officers 9538554571
KSP0234,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,080-26686060,,digp (retd.) retired police officers 080-26686060
KSP0235,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9845176270,,digp (retd.) retired police officers 9845176270
KSP0236,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,7204543369,,digp (retd.) retired police officers 7204543369
KSP0237,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,080-22581821,,digp (retd.) retired police officers 080-22581821
KSP0238,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9448053377,,digp (retd.) retired police officers 9448053377
KSP0239,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9900066300,,digp (retd.) retired police officers 9900066300
KSP0240,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9964610000,,digp (retd.) retired police officers 9964610000
KSP0241,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9972677999,,digp (retd.) retired police officers 9972677999
KSP0242,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,7349282828,,digp (retd.) retired police officers 7349282828
KSP0243,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9448149194,,digp (retd.) retired police officers 9448149194
KSP0244,DIGP (Retd.),DIGP (Retd.),,Retired Police Officers,,,,9448061330,,digp (retd.) retired police officers 9448061330
KSP0245,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9448556666,,sp (retd.) retired police officers 9448556666
KSP0246,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9449085580,,sp (retd.) retired police officers 9449085580
KSP0247,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9448691999,sbbisnalli11@gmail.com,sp (retd.) retired police officers 9448691999 sbbisnalli11@gmail.com
KSP0248,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9980955188,,sp (retd.) retired police officers 9980955188
KSP0249,DCP (Retd.),DCP (Retd.),,Retired Police Officers,,,,9945121169,,dcp (retd.) retired police officers 9945121169
KSP0250,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,080-25279433,,sp (retd.) retired police officers 080-25279433
KSP0251,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9449399973,,sp (retd.) retired police officers 9449399973
KSP0252,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9243456629,,sp (retd.) retired police officers 9243456629
KSP0253,SP (Retd.),SP (Retd.),,Retired Police Officers,,,,9449721149,,sp (retd.) retired police officers 9449721149
KSP0254,"DGP & Director General, Fire & Emergency Services / Commdt. General Home Guards / Director General SDRF / Director Civil Defence",DGP,"& Director General, Fire & Emergency Services / Commdt. General Home Guards / Director General SDRF / Director Civil Defence",HQ,,,,080-25570733,dgp.ksfes@ksp.gov.in,"dgp & director general, fire & emergency services / commdt. general home guards / director general sdrf / director civil defence dgp & director general, fire & emergency services / commdt. general home guards / director general sdrf / director civil defence hq 080-25570733 dgp.ksfes@ksp.gov.in"
KSP0255,ADGP Fire & Emergency Services & SDRF,ADGP,Fire & Emergency Services & SDRF,HQ,,,,080-22971567,adgp.ksfes@ka.gov.in,adgp fire & emergency services & sdrf adgp fire & emergency services & sdrf hq 080-22971567 adgp.ksfes@ka.gov.in
KSP0256,DIGP Fire & Emergency Services,DIGP,Fire & Emergency Services,Fire & HG,,,,080-22971505,digp.ksfes@ka.gov.in,digp fire & emergency services digp fire & emergency services fire & hg 080-22971505 digp.ksfes@ka.gov.in
KSP0257,"DIGP & Additional Commdt. General, Home Guards",DIGP,"& Additional Commdt. General, Home Guards",Fire & HG,,,,080-25573333,adgphgcdban@gmail.com,"digp & additional commdt. general, home guards digp & additional commdt. general, home guards fire & hg 080-25573333 adgphgcdban@gmail.com"
KSP0258,"Dy. Commdt. General, Home Guards",Dy. Commdt.,"Dy. Commdt. General, Home Guards",Fire & HG,,,,080-25573553,dcghgcd935@gmail.com,"dy. commdt. general, home guards dy. commdt. fire & hg 080-25573553 dcghgcd935@gmail.com"
KSP0259,"Commdt., Home Guards & Civil Defence Academy",Commdt.,"Commdt., Home Guards & Civil Defence Academy",Fire & HG,,,,080-25541505,comdthgcd@gmail.com,"commdt., home guards & civil defence academy commdt. fire & hg 080-25541505 comdthgcd@gmail.com"
KSP0260,Chief Fire Officer East,,Chief Fire Officer East,Fire & HG,,,,080-22971513,cfoblreast@gmail.com,chief fire officer east fire & hg 080-22971513 cfoblreast@gmail.com
KSP0261,"Commdt., Fire & Emergency Services Training",Commdt.,"Commdt., Fire & Emergency Services Training",Fire & HG,,,,080-29564055,cfireacademy@gmail.com,"commdt., fire & emergency services training commdt. fire & hg 080-29564055 cfireacademy@gmail.com"
KSP0262,Chief Fire Officer West,,Chief Fire Officer West,Fire & HG,,,,080-22971523,cfobngwestksfes@gmail.com,chief fire officer west fire & hg 080-22971523 cfobngwestksfes@gmail.com
KSP0263,Deputy Director (Administration),,Deputy Director (Administration),HQ,,,,080-22971507,dda.ksfes@ka.gov.in,deputy director (administration) hq 080-22971507 dda.ksfes@ka.gov.in
KSP0264,"Director, Fire Service",,"Director, Fire Service",Fire & HG,,,,080-25540656,director.ksfes@ka.gov.in,"director, fire service fire & hg 080-25540656 director.ksfes@ka.gov.in"
KSP0265,Deputy Director (Technical),,Deputy Director (Technical),Fire & HG,,,,080-25544042,ddt.ksfes@ka.gov.in,deputy director (technical) fire & hg 080-25544042 ddt.ksfes@ka.gov.in
KSP0266,North Fire Station,,"North Fire Station, Bengaluru",Fire & HG,Bengaluru City,,,080-22971536,fsonorth.ksfes@ka.gov.in,"north fire station north fire station, bengaluru fire & hg bengaluru city 080-22971536 fsonorth.ksfes@ka.gov.in"
KSP0267,South Fire Station,,"South Fire Station, Bengaluru",Fire & HG,Bengaluru City,,,080-22971535,fsosouth.ksfes@ka.gov.in,"south fire station south fire station, bengaluru fire & hg bengaluru city 080-22971535 fsosouth.ksfes@ka.gov.in"
KSP0268,City Fire C/Room,,City Fire C/Room,HQ,,,,080-22971500,,city fire c/room hq 080-22971500
KSP0269,Home Guards C/Room,,Home Guards C/Room,HQ,,,,080-25553234,hgcdhqrsban@gmail.com,home guards c/room hq 080-25553234 hgcdhqrsban@gmail.com
KSP0270,Civil Defence C/Room,,Civil Defence C/Room,HQ,,,,080-22267920,,civil defence c/room hq 080-22267920
KSP0271,DGP ISD,DGP,ISD,HQ,Bengaluru City,,,080-22943816,dgisd@ksp.gov.in,dgp isd dgp isd hq bengaluru city 080-22943816 dgisd@ksp.gov.in
KSP0272,ADGP ISD,ADGP,ISD,HQ,Bengaluru City,,080-22004200,9480800023,adgp-isd@ksp.gov.in,adgp isd adgp isd hq bengaluru city 080-22004200 9480800023 adgp-isd@ksp.gov.in
KSP0273,IGP Counter Intelligence and Investigation,IGP,Counter Intelligence and Investigation,ISD,Bengaluru City,,,080-22943812,,igp counter intelligence and investigation igp counter intelligence and investigation isd bengaluru city 080-22943812
KSP0274,ADGP Second-In-Command Karnataka State,ADGP,Second-In-Command Karnataka State Bengaluru,HQ,Bengaluru City,,,080-22943812,,adgp second-in-command karnataka state adgp second-in-command karnataka state bengaluru hq bengaluru city 080-22943812
KSP0275,"IGP Operation, ISD",IGP,"Operation, ISD",ISD,Bengaluru City,,,080-25302070,igpisd@ksp.gov.in,"igp operation, isd igp operation, isd isd bengaluru city 080-25302070 igpisd@ksp.gov.in"
KSP0276,"IGP Security Division, ISD",IGP,"Security Division, ISD",ISD,Bengaluru City,,,080-22943813,igpisdsecurity@ksp.gov.in,"igp security division, isd igp security division, isd isd bengaluru city 080-22943813 igpisdsecurity@ksp.gov.in"
KSP0277,"DIGP Commander, ANF ISD",DIGP,"Commander, ANF ISD",ISD,Bengaluru City,,,,digpanf@ksp.gov.in,"digp commander, anf isd digp commander, anf isd isd bengaluru city digpanf@ksp.gov.in"
KSP0278,DIGP Admin ISD,DIGP,Admin ISD,HQ,Bengaluru City,,,080-22943811,digpis@ksp.gov.in,digp admin isd digp admin isd hq bengaluru city 080-22943811 digpis@ksp.gov.in
KSP0279,SP ISD HQ,SP,ISD HQ,ISD,UNKNOWN,,,080-22943824,sphqisd@ksp.gov.in,sp isd hq sp isd hq isd unknown 080-22943824 sphqisd@ksp.gov.in
KSP0280,"Director CCT, ISD",Director,"Director CCT, ISD",ISD,Bengaluru City,,,080-22943818,dircctisd@ksp.gov.in,"director cct, isd director isd bengaluru city 080-22943818 dircctisd@ksp.gov.in"
KSP0281,"SP ISD, B’luru City",SP,"ISD, B’luru City",ISD,Bengaluru City,,,080-22346789,spbcpcrerisd@ksp.gov.in,"sp isd, b’luru city sp isd, b’luru city isd bengaluru city 080-22346789 spbcpcrerisd@ksp.gov.in"
KSP0282,SP ISD WESTERN RANGE,SP,ISD WESTERN RANGE,ISD,UNKNOWN,,,0824-2423600,spwrsrisd@ksp.gov.in,sp isd western range sp isd western range isd unknown 0824-2423600 spwrsrisd@ksp.gov.in
KSP0283,SP ISD,SP,ISD Bengaluru CITY,ISD,Bengaluru City,,,0836-2774833,spnrisd@ksp.gov.in,sp isd sp isd bengaluru city isd bengaluru city 0836-2774833 spnrisd@ksp.gov.in
KSP0284,"SP ANF, Karkala",SP,"ANF, Karkala",ISD,Bengaluru City,,,08258-233888,spanf@ksp.gov.in,"sp anf, karkala sp anf, karkala isd bengaluru city 08258-233888 spanf@ksp.gov.in"
KSP0285,"SP CSP, Udupi",SP,"CSP, Udupi",ISD,Udupi,,,0820-2538120,spcsp@ksp.gov.in,"sp csp, udupi sp csp, udupi isd udupi 0820-2538120 spcsp@ksp.gov.in"
KSP0286,SP ISD KALABURGI,SP,ISD KALABURGI,ISD,UNKNOWN,,,08472-262521,spisdner@ksp.gov.in,sp isd kalaburgi sp isd kalaburgi isd unknown 08472-262521 spisdner@ksp.gov.in
KSP0287,"SP Admin, ISD",SP,"Admin, ISD",HQ,Bengaluru City,,,080-25592737,spadminisd@ksp.gov.in,"sp admin, isd sp admin, isd hq bengaluru city 080-25592737 spadminisd@ksp.gov.in"
KSP0288,Commdt. KSISF-I BN,Commdt.,"Commdt. KSISF-I BN, Bengaluru",ISD,Bengaluru City,,,080-22942291,cmdbtn1ksisf@ksp.gov.in,"commdt. ksisf-i bn commdt. commdt. ksisf-i bn, bengaluru isd bengaluru city 080-22942291 cmdbtn1ksisf@ksp.gov.in"
KSP0289,Dy. Commdt. KSISF-I & METRO QRT,Dy. Commdt.,Dy. Commdt. KSISF-I & METRO QRT,ISD,Bengaluru City,,,080-22942291,crksisf@ksp.gov.in,dy. commdt. ksisf-i & metro qrt dy. commdt. isd bengaluru city 080-22942291 crksisf@ksp.gov.in
KSP0290,Commdt. KSISF-II,Commdt.,Commdt. KSISF-II SHIVAMOGGA,ISD,Shivamogga,,,08182-296211,cmdbtn2ksisf@ksp.gov.in,commdt. ksisf-ii commdt. commdt. ksisf-ii shivamogga isd shivamogga 08182-296211 cmdbtn2ksisf@ksp.gov.in
KSP0291,SP COMMDT CCT,SP,COMMDT CCT,ISD,UNKNOWN,,,080-25746151,spcct@ksp.gov.in,sp commdt cct sp commdt cct isd unknown 080-25746151 spcct@ksp.gov.in
KSP0292,Commdt. KSISF-III,Commdt.,Commdt. KSISF-III DHARWAD,ISD,Dharwad,,,0836-2777790,cmbtn3ksisf@ksp.gov.in,commdt. ksisf-iii commdt. commdt. ksisf-iii dharwad isd dharwad 0836-2777790 cmbtn3ksisf@ksp.gov.in
KSP0293,Commdt. KSISF-IV BN,Commdt.,"Commdt. KSISF-IV BN, MYSURU",ISD,Mysuru,,,9886967508,,"commdt. ksisf-iv bn commdt. commdt. ksisf-iv bn, mysuru isd mysuru 9886967508"
KSP0294,PI (WIRELESS) ISD,PI,(WIRELESS) ISD,ISD,Bengaluru City,,,080-22943801,,pi (wireless) isd pi (wireless) isd isd bengaluru city 080-22943801
KSP0295,ISD C/Room,,ISD C/Room,HQ,Bengaluru City,,,080-22943801,crisd@ksp.gov.in,isd c/room hq bengaluru city 080-22943801 crisd@ksp.gov.in
KSP0296,CSP C/Room,,CSP C/Room,HQ,Bengaluru City,,,0820-2538100,cspudp@ksp.gov.in,csp c/room hq bengaluru city 0820-2538100 cspudp@ksp.gov.in
